"keyword","X1960","X1970","X1980","X1990","X2000","X2010"
"aint talkin",0,0,2,4,3,2
"aint talkin bout",0,0,0,1,1,1
"aint tellin",1,1,1,5,2,3
"aint thing",0,2,1,2,15,2
"aint time",1,0,2,2,2,0
"aint true",2,2,0,0,6,0
"aint truth",0,0,1,1,1,0
"aint tryin",0,0,0,4,6,3
"aint trying",0,0,0,2,8,7
"aint tryna",0,0,0,1,5,2
"aint use",2,3,3,0,1,0
"aint wanna",0,1,0,1,0,2
"aint way",3,18,3,7,18,10
"aint way im",0,3,0,0,3,2
"aint wearin",0,2,0,2,4,0
"aint whats",0,0,1,1,3,0
"aint worth",0,0,2,20,1,1
"air",9,59,34,63,132,120
"air air",0,2,1,0,22,1
"air big",0,0,0,1,1,1
"air breathe",0,9,0,1,1,0
"air cant",0,0,1,1,3,0
"air dont",0,0,0,7,1,5
"air ill",0,0,3,1,0,1
"air im",1,0,2,2,3,3
"air like",0,0,2,2,6,5
"air make",0,0,0,2,1,4
"air one",0,1,1,0,0,1
"air youre",0,1,0,1,4,8
"airplane",1,0,0,1,6,4
"airport",0,1,1,0,4,2
"aisle",1,0,0,2,3,1
"aka",0,0,0,2,7,5
"alabama",1,5,0,2,16,3
"alarm",1,0,2,0,7,8
"album",1,4,2,4,20,20
"alcohol",0,0,1,0,14,16
"alexander",0,1,0,0,2,1
"alibi",1,0,1,0,4,0
"alibis",1,2,2,0,2,0
"alien",0,0,1,0,1,4
"alive",9,121,86,56,65,80
"alive can",0,2,2,1,8,0
"alive cause",0,1,1,6,0,0
"alive come",2,0,1,0,0,5
"alive dont",0,2,0,4,1,1
"alive feel",0,3,0,1,1,0
"alive get",0,1,1,1,0,0
"alive ill",0,1,4,3,0,0
"alive im",0,0,8,2,3,5
"alive just",0,1,1,1,1,8
"alive make",0,0,5,1,0,2
"alive now",0,1,2,2,0,1
"alive one",0,1,1,1,0,0
"alive yeah",0,4,2,0,0,1
"aliveand",0,1,0,2,1,0
"alivei",0,0,2,1,1,1
"allbut",1,1,2,0,0,0
"alley",1,1,1,9,0,2
"alleys",2,0,2,2,0,0
"allhow",0,1,2,1,0,0
"alli",0,3,7,3,2,4
"alligator",1,6,0,0,1,0
"alligators",7,1,0,0,1,0
"allow",0,5,0,14,2,0
"allowed",0,5,1,2,0,0
"alls",0,1,0,1,0,1
"allthe",0,0,1,0,1,1
"allwhen",0,0,2,0,1,1
"almighty",0,5,0,0,2,1
"almost",14,33,36,32,35,35
"almost can",0,0,0,1,1,3
"almost every",0,1,1,3,0,0
"almost fell",0,1,0,1,3,0
"almost gone",1,0,1,0,0,1
"almost like",0,4,3,1,1,1
"almost made",0,1,1,3,0,0
"alone",72,176,203,200,218,106
"alone aint",1,2,0,0,0,3
"alone alone",0,0,1,12,3,0
"alone always",0,1,1,1,1,1
"alone baby",0,0,2,1,1,1
"alone can",0,4,0,2,6,3
"alone cant",1,0,4,4,4,0
"alone cause",0,0,4,6,4,8
"alone come",2,0,1,1,2,0
"alone didnt",0,1,1,2,2,0
"alone dont",2,0,5,16,10,2
"alone dont know",0,0,1,2,0,1
"alone every",2,1,1,0,0,3
"alone every night",2,1,1,0,0,0
"alone everybody",5,0,1,2,0,0
"alone feel",1,1,0,1,1,0
"alone got",0,1,1,1,2,0
"alone hes",2,1,0,0,1,0
"alone im",1,3,21,5,8,1
"alone ive",1,3,5,1,0,0
"alone ive got",1,1,1,0,0,0
"alone just",1,3,1,5,4,8
"alone keep",2,3,0,0,2,1
"alone know",0,0,2,3,13,1
"alone know youre",0,0,1,1,4,0
"alone like",0,0,2,1,2,0
"alone love",1,2,0,4,3,0
"alone need",0,3,1,3,4,6
"alone never",0,0,4,3,2,0
"alone night",2,5,1,0,5,0
"alone now",3,9,15,2,2,3
"alone oh",0,7,2,0,3,0
"alone say",0,1,1,2,1,0
"alone tell",0,0,0,1,3,3
"alone thats",1,0,0,0,4,1
"alone theres",0,1,2,1,6,0
"alone things",0,0,0,1,2,4
"alone think",0,1,0,5,3,0
"alone tonight",0,0,1,2,3,1
"alone want",0,1,2,0,4,0
"alone will",0,2,0,0,1,1
"alone without",1,4,1,1,1,0
"alone wonder",0,1,1,1,0,0
